245
0	10

1	22

2	19

3	18

4	20

5	15

6	78

7	36

8	56

9	18

10	15

11	86

12	19

13	16

14	18

15	36

16	16

17	16

18	11

19	21

20	38

21	34

22	55

23	35

24	42

25	35

26	40

27	20

28	22

29	19

30	34

31	37

32	30

33	28

34	16

35	17

36	16

37	234

38	20

39	12

40	17

41	21

42	19

43	18

44	18

45	32

46	32

47	23

48	22

49	22

50	84

51	23

52	26

53	31

54	34

55	31

56	21

57	31

58	26

59	33

60	28

61	59

62	50

63	10

64	7

65	9

66	6

67	10

68	8

69	11

70	11

71	22

72	29

73	33

74	38

75	101

76	14

77	18

78	12

79	25

80	18

81	16

82	14

83	18

84	18

85	20

86	21

87	17

88	17

89	21

90	20

91	10

92	16

93	16

94	16

95	16

96	17

97	15

98	16

99	14

100	19

101	19

102	16

103	21

104	17

105	30

106	32

107	17

108	10

109	14

110	13

111	33

112	22

113	46

114	36

115	2

116	33

117	16

118	17

119	17

120	18

121	14

122	14

123	18

124	13

125	9

126	14

127	43

128	45

129	26

130	27

131	14

132	18

133	23

134	9

135	15

136	17

137	18

138	22

139	21

140	22

141	22

142	35

143	30

144	32

145	25

146	16

147	18

148	13

149	20

150	106

151	17

152	34

153	19

154	27

155	18

156	19

157	27

158	29

159	30

160	36

161	36

162	35

163	39

164	38

165	11

166	7

167	16

168	19

169	19

170	22

171	25

172	26

173	20

174	38

175	49

176	56

177	37

178	79

179	17

180	17

181	10

182	25

183	21

184	34

185	24

186	25

187	23

188	24

189	29

190	19

191	25

192	49

193	40

194	31

195	25

196	42

197	23

198	35

199	21

200	20

201	47

202	51

203	33

204	10

205	45

206	16

207	13

208	8

209	12

210	25

211	9

212	30

213	66

214	30

215	55

216	32

217	36

218	35

219	22

220	25

221	44

222	21

223	26

224	78

225	72

226	11

227	4

228	26

229	24

230	28

231	40

232	42

233	50

234	20

235	34

236	32

237	44

238	9

239	10

240	34

241	21

242	12

243	34

244	43

245	49
